Month/Year,License Class,Trips Per Day,Farebox Per Day,Unique Drivers,Unique Vehicles,Vehicles Per Day,Avg Days Vehicles on Road,Avg Hours Per Day Per Vehicle,Avg Days Drivers on Road,Avg Hours Per Day Per Driver,Avg Minutes Per Trip,Percent of Trips Paid with Credit Card,Trips Per Day Shared
2024-01,FHV - Black Car,"20,622",-,"9,010","8,594","3,506",12.6,4.5,12.5,4.4,25.0,-,-
2024-01,FHV - High Volume,"634,329",-,"84,472","83,785","57,144",21.1,6.4,21.4,6.3,18.0,-,"7,341"
2024-01,FHV - Livery,"28,088",-,"8,178","8,032","4,418",17.1,4.7,17.1,4.7,19.0,-,-
2024-01,FHV - Lux Limo,"1,408",-,"2,080","1,998",727,11.3,1.9,11.1,1.9,58.0,-,-
2024-01,Green,"1,824","37,028",829,797,424,16.5,3.5,16.1,3.4,13.9,70%,-
2024-01,Yellow,"94,742","2,219,025","11,838","8,795","7,222",25.5,7.7,21.7,6.7,14.6,82%,-
2023-12,FHV - Black Car,"23,302",-,"9,247","8,778","3,762",13.3,4.7,13.1,4.6,25.0,-,-
2023-12,FHV - High Volume,"661,815",-,"84,911","82,379","58,687",22.1,6.5,21.9,6.4,20.0,-,"6,264"
2023-12,FHV - Livery,"26,133",-,"6,829","6,669","3,826",17.8,4.9,17.8,4.8,19.0,-,-
2023-12,FHV - Lux Limo,"1,394",-,"2,045","1,907",663,10.8,2.1,10.4,2.0,63.0,-,-
2023-12,Green,"2,071","45,896",860,825,469,17.6,3.5,17.2,3.5,15.8,69%,-
2023-12,Yellow,"108,202","2,710,488","12,340","8,841","7,551",26.5,8.2,22.2,7.0,17.0,81%,-
2023-11,FHV - Black Car,"24,928",-,"9,644","8,759","4,036",13.8,4.7,13.4,4.5,25.0,-,-
2023-11,FHV - High Volume,"642,308",-,"84,091","80,871","58,734",21.8,6.4,21.5,6.3,20.0,-,"6,538"
2023-11,FHV - Livery,"29,671",-,"7,610","7,385","4,576",18.6,4.8,18.5,4.7,19.0,-,-
2023-11,FHV - Lux Limo,"1,787",-,"2,163","2,077",852,12.3,2.1,12.2,2.0,64.0,-,-
2023-11,Green,"2,133","46,814",876,837,486,17.4,3.5,16.9,3.5,15.7,70%,-
2023-11,Yellow,"110,643","2,777,387","12,257","8,751","7,622",26.1,8.4,22.0,7.1,17.0,82%,-
2023-10,FHV - Black Car,"27,524",-,"10,028","9,073","4,267",14.6,5.0,14.1,4.6,27.0,-,-
2023-10,FHV - High Volume,"651,179",-,"83,792","80,346","58,055",22.4,6.5,22.0,6.4,20.0,-,"6,343"
2023-10,FHV - Livery,"30,566",-,"7,747","7,528","4,587",18.9,4.9,18.8,4.8,19.0,-,-
2023-10,FHV - Lux Limo,"1,888",-,"2,226","2,165",871,12.5,2.1,12.5,2.1,63.0,-,-
2023-10,Green,"2,135","48,179",900,861,491,17.7,3.5,17.2,3.4,16.0,69%,-
2023-10,Yellow,"112,959","2,889,001","12,232","8,662","7,548",27.0,8.5,22.6,7.2,17.2,82%,-
2023-09,FHV - Black Car,"19,754",-,"7,731","6,899","3,161",13.7,4.8,13.3,4.5,28.0,-,-
2023-09,FHV - High Volume,"661,698",-,"82,812","79,448","56,923",21.5,6.6,21.1,6.5,21.0,-,"5,991"
2023-09,FHV - Livery,"22,459",-,"6,038","5,804","3,491",18.0,4.8,17.8,4.7,20.0,-,-
2023-09,FHV - Lux Limo,"1,598",-,"1,984","1,906",735,11.6,2.1,11.4,2.1,66.0,-,-
2023-09,Green,"2,181","52,570",899,855,485,17.0,3.6,16.3,3.5,16.4,70%,-
